WiFi SSID:,Follow panriya da body soda
IP Address,MAC Address
192.168.238.84,3e-09-81-b0-ec-7f
192.168.238.255,ff-ff-ff-ff-ff-ff
224.0.0.22,01-00-5e-00-00-16
224.0.0.251,01-00-5e-00-00-fb
224.0.0.252,01-00-5e-00-00-fc
239.255.255.250,01-00-5e-7f-ff-fa
255.255.255.255,ff-ff-ff-ff-ff-ff
192.168.56.255,ff-ff-ff-ff-ff-ff
224.0.0.22,01-00-5e-00-00-16
224.0.0.251,01-00-5e-00-00-fb
224.0.0.252,01-00-5e-00-00-fc
239.255.255.250,01-00-5e-7f-ff-fa
255.255.255.255,ff-ff-ff-ff-ff-ff
192.168.233.255,ff-ff-ff-ff-ff-ff
224.0.0.22,01-00-5e-00-00-16
224.0.0.251,01-00-5e-00-00-fb
224.0.0.252,01-00-5e-00-00-fc
239.255.255.250,01-00-5e-7f-ff-fa
255.255.255.255,ff-ff-ff-ff-ff-ff
192.168.135.255,ff-ff-ff-ff-ff-ff
224.0.0.22,01-00-5e-00-00-16
224.0.0.251,01-00-5e-00-00-fb
224.0.0.252,01-00-5e-00-00-fc
239.255.255.250,01-00-5e-7f-ff-fa
255.255.255.255,ff-ff-ff-ff-ff-ff
